name,gra,bmf,delta,rel_pct,w,h,pixels,ncomp,gra_bpp,bmf_bpp,delta_bpp,h0_bpp,med_bpp,bmf_over_med,gra_over_med,ct_bpp,ct_keep,ct_ks,ct_refs,eq_w,eq_n,run_mean,dup_rows,nrows,distinct_px,distinct_per_px,top8,corr_bg,corr_gr,corr_br,period_lag,period_corr,planes_free,choice,choice_est,body,est_err_pct,transposed,models,desc
STA13843,49273540,49708880,435340,0.884,6800,6800,46240000,3,8.5248,8.6002,0.0753,20.7261,11.586,0.7423,0.7358,11.2502,G,,,0.01614,0.01583,1.02,0,6799,2522852,0.0546,0.332,0.955,0.514,0.471,2,0.00571,24,together,49798290.3,49708860,-0.18,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=131 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=255  w=(-12,9)"
STA13844,43673586,43914032,240446,0.551,6800,6800,46240000,3,7.556,7.5976,0.0416,21.4858,10.3438,0.7345,0.7305,10.0276,B,,,0.03216,0.03277,1.03,0,6799,3554681,0.0769,0.196,0.628,0.609,0.194,2,0.01217,24,together,44044062.3,43914012,-0.295,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=119 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=11  w=(-26,-1)"
STA13845,40892954,44226712,3333758,8.152,6800,6800,46240000,3,7.0749,7.6517,0.5768,21.7515,10.4051,0.7354,0.6799,10.0989,G,,,0.01758,0.01796,1.02,0,6799,3169157,0.0685,0.019,0.719,0.277,-0.309,2,0.00471,24,together,44237350.3,44226692,-0.024,1,p2,plane 0: slot 2  p2 | plane 1: slot 1  p2 | plane 2: slot 0  p2
STA13900,1897471,1960688,63217,3.332,1200,1200,1440000,3,10.5415,10.8927,0.3512,17.2989,12.5023,0.8713,0.8432,12.4702,G,,,0.00273,0.00382,1.0,0,1199,141275,0.0981,0.514,0.974,0.859,0.857,2,0.00152,24,planar,1963633.3,1960668,-0.151,1,"p1,p2,refs+p2","plane 0: slot 1  p2 | plane 1: slot 2  refs+p2   dc=214  w=(-10,35) | plane 2: slot 0  p1"
STA13901,1749438,1779876,30438,1.74,1200,1200,1440000,3,9.7191,9.8882,0.1691,16.804,11.3492,0.8713,0.8564,11.2915,G,,,0.00334,0.00466,1.0,0,1199,207478,0.1441,1.514,0.955,0.942,0.88,2,0.00131,24,together,1784833.3,1779856,-0.279,1,"p2,refs+p2","plane 0: slot 1  p2 | plane 1: slot 2  refs+p2   dc=231  w=(-30,45) | plane 2: slot 0  p2"
STA13904,6345128,6248232,-96896,-1.527,4000,2800,11200000,3,4.5322,4.463,-0.0692,21.048,7.8563,0.5681,0.5769,7.5936,B,,,0.01699,0.01954,1.02,0,2799,1952194,0.1743,0.092,0.688,0.623,0.196,2,0.00421,24,together,6248846.3,6248212,-0.01,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=150 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=215  w=(30,-9)"
STA13908,4144669,4152932,8263,0.199,2700,2700,7290000,3,4.5483,4.5574,0.0091,17.3355,6.8248,0.6678,0.6664,6.789,B,,,0.01722,0.0129,1.02,0,2699,605534,0.0831,0.114,0.754,0.369,0.105,2,0.00343,24,together,4163366.3,4152912,-0.251,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=69 | plane 1: slot 2  refs+p2   dc=218  w=(28,43) | plane 2: slot 0  p2"
STA13942,737502,735248,-2254,-0.306,1200,1200,1440000,3,4.0972,4.0847,-0.0125,18.5318,7.2394,0.5642,0.566,7.2218,G,,,0.03133,0.03397,1.03,0,1199,334789,0.2325,0.435,0.596,0.733,0.234,2,0.01174,24,together,741014.3,735228,-0.781,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=161  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=71"
canon_eos_1100d_01,9252904,9541004,288100,3.114,4290,2856,12252240,3,6.0416,6.2297,0.1881,19.3842,7.4618,0.8349,0.8097,7.2415,G,,,0.04327,0.04284,1.05,0,2855,118650,0.0097,0.977,0.964,0.95,0.866,2,0.01147,23,together,9995102.3,9540984,-4.543,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=234  w=(33,30) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=226"
canon_eos_1100d_02,10321388,10240716,-80672,-0.782,2856,4290,12252240,3,6.7393,6.6866,-0.0527,19.7073,9.029,0.7406,0.7464,8.8049,G,,,0.03782,0.04012,1.04,0,4289,773780,0.0632,1.639,0.968,0.982,0.936,2,0.01085,24,together,10801694.3,10240696,-5.194,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=165  w=(55,24) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=120"
